2016-02-24-18-55-41	starting: 0, -t: 10

2016-02-25-17-43-12	starting: 0, -t: 10, level: 0.5
2016-02-26-00-59-37	starting: 0, -t: 10, level: 0.25
2016-02-26-08-16-27	starting: 0, -t: 10, level: 0.125
2016-02-26-16-36-53	starting: 0, -t: 10, level: 0.0625
2016-02-27-00-30-17	starting: 0, -t: 10, level: 0.03125
2016-02-27-08-27-01	starting: 0, -t: 10, level: 0.015625
2016-02-29-10-55-58	starting: 0, -t: 10, level: 0.0078125
2016-02-29-18-44-06	starting: 0, -t: 10, level: 0.00390625
2016-03-01-02-56-00	starting: 0, -t: 10, level: 0.001953125
2016-03-01-11-53-37	starting: 0, -t: 10, level: 0.0009765625
2016-03-01-19-37-59	starting: 0, -t: 10, level: 0.00048828125

2016-03-08-13-18-01	starting: 0, -t: 10, white noise: 0.0125
2016-03-08-15-02-00	starting: 0, -t: 10, white noise: 0.025
2016-03-08-11-15-03	starting: 0, -t: 10, white noise: 0.05
2016-03-07-18-11-28	starting: 0, -t: 10, white noise: 0.1
2016-03-07-19-45-54	starting: 0, -t: 10, white noise: 0.2
2016-03-07-21-20-54	starting: 0, -t: 10, white noise: 0.4
2016-03-07-22-56-11	starting: 0, -t: 10, white noise: 0.8

2016-03-11-19-04-06	starting: 0, -t: 10, babble noise: 0.0125
2016-03-11-20-32-43	starting: 0, -t: 10, babble noise: 0.025
2016-03-11-22-02-16	starting: 0, -t: 10, babble noise: 0.05
2016-03-11-23-31-56	starting: 0, -t: 10, babble noise: 0.1
2016-03-12-01-01-44	starting: 0, -t: 10, babble noise: 0.2
2016-03-12-02-31-52	starting: 0, -t: 10, babble noise: 0.4
2016-03-12-04-02-29	starting: 0, -t: 10, babble noise: 0.8
2016-03-12-05-31-51	starting: 0, -t: 10, factory1 noise: 0.0125
2016-03-12-07-01-45	starting: 0, -t: 10, factory1 noise: 0.025
2016-03-12-08-31-58	starting: 0, -t: 10, factory1 noise: 0.05
2016-03-12-10-01-53	starting: 0, -t: 10, factory1 noise: 0.1
2016-03-12-11-30-51	starting: 0, -t: 10, factory1 noise: 0.2
2016-03-12-12-58-08	starting: 0, -t: 10, factory1 noise: 0.4
2016-03-12-14-25-27	starting: 0, -t: 10, factory1 noise: 0.8
2016-03-12-15-52-46	starting: 0, -t: 10, factory2 noise: 0.0125
2016-03-12-17-20-02	starting: 0, -t: 10, factory2 noise: 0.025
2016-03-12-18-47-18	starting: 0, -t: 10, factory2 noise: 0.05
2016-03-12-20-14-26	starting: 0, -t: 10, factory2 noise: 0.1
2016-03-12-21-41-44	starting: 0, -t: 10, factory2 noise: 0.2
2016-03-12-23-08-54	starting: 0, -t: 10, factory2 noise: 0.4
2016-03-13-00-36-10	starting: 0, -t: 10, factory2 noise: 0.8
2016-03-13-02-03-27	starting: 0, -t: 10, pink noise: 0.0125
2016-03-13-03-30-32	starting: 0, -t: 10, pink noise: 0.025
2016-03-13-04-57-48	starting: 0, -t: 10, pink noise: 0.05
2016-03-13-06-24-54	starting: 0, -t: 10, pink noise: 0.1
2016-03-13-07-52-32	starting: 0, -t: 10, pink noise: 0.2
2016-03-13-09-19-42	starting: 0, -t: 10, pink noise: 0.4
2016-03-13-10-47-00	starting: 0, -t: 10, pink noise: 0.8
2016-03-13-12-16-42	starting: 0, -t: 10, white noise (file): 0.0125
2016-03-13-13-46-41	starting: 0, -t: 10, white noise (file): 0.025
2016-03-13-15-16-42	starting: 0, -t: 10, white noise (file): 0.05
2016-03-13-16-46-50	starting: 0, -t: 10, white noise (file): 0.1
2016-03-13-18-17-10	starting: 0, -t: 10, white noise (file): 0.2
2016-03-13-19-47-38	starting: 0, -t: 10, white noise (file): 0.4
2016-03-13-21-18-03	starting: 0, -t: 10, white noise (file): 0.8
